,lang,talla_dict,talla_consultas,SpellSuggester_type,alg,iter,elapsed
0,Spanish,100,20,Iterative,levenshtein,0,0.41507887840270996
1,Spanish,100,20,Iterative,levenshtein,1,0.3940770626068115
2,Spanish,100,20,Iterative,restricted,0,0.49236392974853516
3,Spanish,100,20,Iterative,restricted,1,0.49770116806030273
4,Spanish,100,20,Iterative,intermediate,0,0.2436223030090332
5,Spanish,100,20,Iterative,intermediate,1,0.22774958610534668
6,Spanish,100,20,Trie,levenshtein,0,0.18811631202697754
7,Spanish,100,20,Trie,levenshtein,1,0.18455028533935547
8,Spanish,100,20,Trie,restricted,0,0.2452244758605957
9,Spanish,100,20,Trie,restricted,1,0.2757740020751953
10,Spanish,100,10,Iterative,levenshtein,0,0.2349843978881836
11,Spanish,100,10,Iterative,levenshtein,1,0.2355496883392334
12,Spanish,100,10,Iterative,restricted,0,0.2961585521697998
13,Spanish,100,10,Iterative,restricted,1,0.2926506996154785
14,Spanish,100,10,Iterative,intermediate,0,0.13783764839172363
15,Spanish,100,10,Iterative,intermediate,1,0.13921308517456055
16,Spanish,100,10,Trie,levenshtein,0,0.11525917053222656
17,Spanish,100,10,Trie,levenshtein,1,0.11582279205322266
18,Spanish,100,10,Trie,restricted,0,0.16576671600341797
19,Spanish,100,10,Trie,restricted,1,0.15606689453125
20,Spanish,150,20,Iterative,levenshtein,0,0.7139480113983154
21,Spanish,150,20,Iterative,levenshtein,1,0.682199239730835
22,Spanish,150,20,Iterative,restricted,0,0.8618264198303223
23,Spanish,150,20,Iterative,restricted,1,0.8989717960357666
24,Spanish,150,20,Iterative,intermediate,0,0.39070916175842285
25,Spanish,150,20,Iterative,intermediate,1,0.390545129776001
26,Spanish,150,20,Trie,levenshtein,0,0.3075573444366455
27,Spanish,150,20,Trie,levenshtein,1,0.3092465400695801
28,Spanish,150,20,Trie,restricted,0,0.41120362281799316
29,Spanish,150,20,Trie,restricted,1,0.4108240604400635
30,Spanish,150,10,Iterative,levenshtein,0,0.35723423957824707
31,Spanish,150,10,Iterative,levenshtein,1,0.3434474468231201
32,Spanish,150,10,Iterative,restricted,0,0.40745115280151367
33,Spanish,150,10,Iterative,restricted,1,0.4136643409729004
34,Spanish,150,10,Iterative,intermediate,0,0.1923532485961914
35,Spanish,150,10,Iterative,intermediate,1,0.18885588645935059
36,Spanish,150,10,Trie,levenshtein,0,0.15093469619750977
37,Spanish,150,10,Trie,levenshtein,1,0.15053582191467285
38,Spanish,150,10,Trie,restricted,0,0.20098114013671875
39,Spanish,150,10,Trie,restricted,1,0.19801688194274902
